2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:51 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 2451E3D446CC6DF564570C8557216E80 548 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-11
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:52 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 D3EF6F9DBC16E3853B1759560604A3F3 676 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-16
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:52 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 5620CA1DDEDD406098F9F4B19A42148A 612 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-3
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:52 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 414ED8DFFD9E5EF506EB995CE970F28A 556 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-13
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:52 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 259 2451E3D446CC6DF564570C8557216E80 379 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-14
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:53 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 D3EF6F9DBC16E3853B1759560604A3F3 423 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-6
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:54 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 414ED8DFFD9E5EF506EB995CE970F28A 947 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-20
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:54 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 259 2451E3D446CC6DF564570C8557216E80 779 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-11
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:54 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 5620CA1DDEDD406098F9F4B19A42148A 1243 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-8
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:55 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 D3EF6F9DBC16E3853B1759560604A3F3 419 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-5
